Wavelength,"Control-NP, RT, 1h,50:1","Control-Cy5, RT, 1h,50:1"
734,0.018,0.0095
735,0.017,0.009
736,0.016,0.0095
737,0.0165,0.009
738,0.0165,0.0085
739,0.0155,0.0085
740,0.0165,0.0085
741,0.015,0.0085
742,0.015,0.0085
743,0.0145,0.008
744,0.013,0.0085
745,0.014,0.008
746,0.013,0.008
747,0.013,0.0075
748,0.0135,0.0065
749,0.013,0.0065
750,0.0125,0.0075
751,0.011,0.007
752,0.0125,0.006
753,0.011,0.0065
754,0.011,0.006
755,0.011,0.006
756,0.01,0.006
757,0.0105,0.006
758,0.01,0.0055
759,0.0095,0.0055
760,0.0095,0.0055
761,0.0095,0.0055
762,0.009,0.005
763,0.0095,0.005
764,0.0085,0.0045
765,0.009,0.005
766,0.0085,0.0045
767,0.0075,0.004
768,0.0075,0.004
769,0.0075,0.0045
770,0.0065,0.0035
771,0.0065,0.0035
772,0.0065,0.0035
773,0.0075,0.0035
774,0.006,0.004
775,0.006,0.004
776,0.0055,0.0035
777,0.006,0.0035
778,0.006,0.0035
779,0.0055,0.0035
780,0.004,0.003
781,0.005,0.003
782,0.0035,0.003
783,0.004,0.0025
784,0.004,0.0025
785,0.003,0.0025
786,0.0035,0.002
787,0.0035,0.0025
788,0.003,0.002
789,0.003,0.0015
790,0.002,0.002
791,0.002,0.0015
792,2.00E-03,0.0015
793,1.50E-03,0.0015
794,1.50E-03,0.0015
795,2.00E-03,1.00E-03
796,0.001,0.0005
797,1.00E-03,0.001
798,5.00E-04,0.0005
799,1.00E-03,1.50E-03
800,0,0
